state,lga_neru,name,yr_2011
Kebbi,Aliero,"Kebbi, Aliero",83629
Kebbi,Arewa,"Kebbi, Arewa",233286
Kebbi,Argungu,"Kebbi, Argungu",247805
Kebbi,Augie,"Kebbi, Augie",148679
Kebbi,Bagudo,"Kebbi, Bagudo",301469
Kebbi,Birnin_Kebbi,"Kebbi, Birnin_Kebbi",337499
Kebbi,Bunza,"Kebbi, Bunza",153970
Kebbi,Dandi,"Kebbi, Dandi",182888
Kebbi,Danko_Wasagu,"Kebbi, Danko_Wasagu",337663
Kebbi,Fakai,"Kebbi, Fakai",153654
Kebbi,Gwandu,"Kebbi, Gwandu",191439
Kebbi,Jega,"Kebbi, Jega",245103
Kebbi,Kalgo,"Kebbi, Kalgo",108261
Kebbi,Koko_Besse,"Kebbi, Koko_Besse",195985
Kebbi,Maiyama,"Kebbi, Maiyama",222708
Kebbi,Ngaski,"Kebbi, Ngaski",158160
Kebbi,Sakaba,"Kebbi, Sakaba",114009
Kebbi,Shanga,"Kebbi, Shanga",161177
Kebbi,Suru,"Kebbi, Suru",190439
Kebbi,Yauri,"Kebbi, Yauri",126482
Kebbi,Zuru,"Kebbi, Zuru",209856
Kebbi,,Kebbi,4104161
Niger,Agaie,"Niger, Agaie",168480
Niger,Agwara,"Niger, Agwara",72780
Niger,Bida,"Niger, Bida",238548
Niger,Borgu,"Niger, Borgu",217992
Niger,Bosso,"Niger, Bosso",186800
Niger,Chanchaga,"Niger, Chanchaga",255342
Niger,Edati,"Niger, Edati",203231
Niger,Gbako,"Niger, Gbako",161582
Niger,Gurara,"Niger, Gurara",115323
Niger,Katcha,"Niger, Katcha",154876
Niger,Kontagora,"Niger, Kontagora",192612
Niger,Lapai,"Niger, Lapai",139603
Niger,Lavun,"Niger, Lavun",266101
Niger,Mariga,"Niger, Mariga",230273
Niger,Mashegu,"Niger, Mashegu",252808
Niger,Magama,"Niger, Magama",272573
Niger,Mokwa,"Niger, Mokwa",310495
Niger,Muya,"Niger, Muya",131393
Niger,Paikoro,"Niger, Paikoro",200398
Niger,Rafi,"Niger, Rafi",230622
Niger,Rijau,"Niger, Rijau",223174
Niger,Shiroro,"Niger, Shiroro",293734
Niger,Suleja,"Niger, Suleja",274545
Niger,Tafa,"Niger, Tafa",105905
Niger,Wushishi,"Niger, Wushishi",103672
Niger,,Niger,5002862
Sokoto,Binji,"Sokoto, Binji",133138
Sokoto,Bodinga,"Sokoto, Bodinga",222354
Sokoto,Dange_Shuni,"Sokoto, Dange_Shuni",246616
Sokoto,Gada,"Sokoto, Gada",314716
Sokoto,Goronyo,"Sokoto, Goronyo",231088
Sokoto,Gudu,"Sokoto, Gudu",121116
Sokoto,Gwadabawa,"Sokoto, Gwadabawa",293281
Sokoto,Illela,"Sokoto, Illela",190767
Sokoto,Isa,"Sokoto, Isa",185208
Sokoto,Kebbe,"Sokoto, Kebbe",158023
Sokoto,Kware,"Sokoto, Kware",169737
Sokoto,Rabah,"Sokoto, Rabah",189089
Sokoto,Sabon_Birni,"Sokoto, Sabon_Birni",263163
Sokoto,Shagari,"Sokoto, Shagari",198277
Sokoto,Silame,"Sokoto, Silame",132315
Sokoto,Sokoto_North,"Sokoto, Sokoto_North",295167
Sokoto,Sokoto_South,"Sokoto, Sokoto_South",247083
Sokoto,Tambuwal,"Sokoto, Tambuwal",285134
Sokoto,Tangaza,"Sokoto, Tangaza",144326
Sokoto,Tureta,"Sokoto, Tureta",86669
Sokoto,Wamako,"Sokoto, Wamako",227694
Sokoto,Wurno,"Sokoto, Wurno",205749
Sokoto,Yabo,"Sokoto, Yabo",145794
Sokoto,,Sokoto,4686504
Zamfara,Anka,"Zamfara, Anka",180361
Zamfara,Bakura,"Zamfara, Bakura",236930
Zamfara,Birnin_Magaji,"Zamfara, Birnin_Magaji",226426
Zamfara,Bukkuyum,"Zamfara, Bukkuyum",268277
Zamfara,Bungudu,"Zamfara, Bungudu",326949
Zamfara,Gummi,"Zamfara, Gummi",259284
Zamfara,Gusau,"Zamfara, Gusau",485716
Zamfara,Kaura_Namoda,"Zamfara, Kaura_Namoda",356675
Zamfara,Maradun,"Zamfara, Maradun",267287
Zamfara,Maru,"Zamfara, Maru",370027
Zamfara,Shinkafi,"Zamfara, Shinkafi",171956
Zamfara,Talata_Mafara,"Zamfara, Talata_Mafara",272771
Zamfara,Tsafe,"Zamfara, Tsafe",337205
Zamfara,Zurmi,"Zamfara, Zurmi",372483
Zamfara,,Zamfara,4132347